Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.45064E-4,9.509602701,0.041007381,0.088737883,0,0
1.50111E-4,9.761138488,0.04240327,0.087039073,0,0
1.55008E-4,10.004141942,0.043755806,0.085440192,0,0
1.59486E-4,10.255259622,0.04499114,0.083841311,0,0
1.65848E-4,10.515922199,0.046743233,0.08224243,0,0
1.68594E-4,10.750157811,0.047498582,0.08084341,0,0
1.72389E-4,11.005947352,0.048541153,0.079344459,0,0
1.75387E-4,11.267219084,0.049364221,0.077845508,0,0
1.81728E-4,11.500231046,0.051102528,0.076546418,0,0
1.85173E-4,11.75736298,0.052045842,0.075147397,0,0
1.87862E-4,12.000029442,0.052781111,0.073848306,0,0
1.9142E-4,12.265386636,0.053753507,0.072449286,0,0
1.96529E-4,12.518226518,0.055147921,0.071150195,0,0
2.00756E-4,12.757396775,0.056299954,0.069951034,0,0
2.03886E-4,13.000077543,0.057152138,0.068751874,0,0
2.09079E-4,13.26877864,0.05856443,0.067452783,0,0
2.14315E-4,13.501645506,0.059986024,0.066353553,0,0
2.19926E-4,13.762738628,0.061507398,0.065154392,0,0
2.25548E-4,14.008486088,0.063029108,0.064055161,0,0
2.30185E-4,14.259041625,0.064282357,0.062955931,0,0
2.347E-4,14.514553608,0.065501032,0.0618567,0,0
2.37264E-4,14.751069804,0.066192155,0.0608574,0,0
2.41929E-4,15.015269057,0.067448798,0.059758169,0,0
2.45301E-4,15.259254448,0.068355998,0.058758869,0,0
2.50686E-4,15.507160816,0.069802949,0.057759568,0,0
2.54863E-4,15.760715885,0.070923734,0.056760268,0,0
2.59571E-4,16.018561748,0.072185569,0.055760967,0,0
2.66178E-4,16.254772355,0.073953315,0.054861597,0,0
2.72739E-4,16.524827365,0.075705326,0.053862296,0,0
2.79438E-4,16.773667212,0.077490932,0.052962926,0,0
2.84352E-4,17.026876003,0.078798303,0.052063556,0,0
2.87208E-4,17.255638173,0.079557484,0.051264115,0,0
2.96612E-4,17.518032857,0.082052654,0.050364745,0,0
3.02938E-4,17.758169862,0.083727234,0.049565304,0,0
3.05312E-4,18.001694604,0.084354935,0.048765864,0,0
3.07957E-4,18.277662283,0.085053597,0.047866493,0,0
3.10983E-4,18.525537943,0.085852448,0.047067053,0,0
3.13856E-4,18.775389939,0.086610157,0.046267613,0,0
3.17081E-4,19.027619242,0.08745998,0.045468172,0.125,0
